Posted Date,Reference Number,Payee,Address,Amount
11/19/2019,24015179322002546466527,"76 - UNITED PACIFIC 3890 SOUTH BEND WA","SOUTH BEND    WA ",-52.20
11/16/2019,24492159320740307112600,"SQ *THE WANDERING G SEATTLE WA","SEATTLE       WA ",-27.22
11/15/2019,24013399318001927274411,"FLYING SQUIRREL PIZZA CO SEATTLE WA","SEATTLE       WA ",-40.40
11/15/2019,24269799318500558872155,"MERCURYS COFFEE CO- BELLEVUE WA","BELLEVUE      WA ",-20.12
11/15/2019,24445009318500332645456,"ZEEKS PIZZA-CAPITOL HILL SEATTLE WA","SEATTLE       WA ",-23.82
11/14/2019,24638189317017031515581,"GRAB A GUN 972-552-7246 TX","972-552-7246  TX ",-72.99
11/12/2019,24692169316100807497469,"AMZN Mktp US*947QP4B03 Amzn.com/billWA","Amzn.com/bill WA ",-290.68
11/12/2019,24431069315083330167149,"AMZN MKTP US*X67HO6UX3 AMAMZN.COM/BILLWA","AMZN.COM/BILL WA ",-6.59
11/12/2019,24431069315083332230846,"AMZN MKTP US*E633H20V3 AMAMZN.COM/BILLWA","AMZN.COM/BILL WA ",-25.25
11/12/2019,24431069315083714233939,"AMZN MKTP US*TB7HF1VI3 AMAMZN.COM/BILLWA","AMZN.COM/BILL WA ",-45.08
11/11/2019,24251389314017044914305,"LOULAY SEATTLE WA","SEATTLE       WA ",-64.50
11/11/2019,24502819314900018006963,"COAST CABINS 503-3687113 OR","503-3687113   OR ",-240.37
11/11/2019,24055229313016424160007,"LAZ PARKING 780104 SEATTLE WA","SEATTLE       WA ",-7.00
11/09/2019,24013399312001113430443,"LE GRAND BISTRO KIRKLAND WA","KIRKLAND      WA ",-54.23
11/09/2019,24692169312100508184055,"AMZN Mktp US*GO1ZA6CN3 Amzn.com/billWA","Amzn.com/bill WA ",-35.53
11/07/2019,24431069311200378500551,"KATE'S PUB SEATTLE WA","SEATTLE       WA ",-50.94
11/07/2019,24323009310206788100211,"MIOPOSTO - MERCER ISLAND MERCER ISLANDWA","MERCER ISLAND WA ",-27.65
11/04/2019,24445009308600059081448,"CENTURYLINK SIMPLE 800-201-4099 LA","800-201-4099  LA ",-65.00
11/04/2019,24251389307117012054941,"WHITE SWAN PUBLIC HOUSE SEATTLE WA","SEATTLE       WA ",-28.12
11/04/2019,24251389307018029422644,"VIA TRIBUNALI CAPITOL HILSEATTLE WA","SEATTLE       WA ",-49.29
11/04/2019,24122599307017194836456,"BURGUNDIAN SEATTLE WA","SEATTLE       WA ",-66.70
11/04/2019,24013399306000206475065,"OSTROMS DRUG & GIFT KENMORE WA","KENMORE       WA ",-171.39
11/04/2019,24428069306501302646952,"802 KENMORE KIDD VALLEY KENMORE WA","KENMORE       WA ",-11.20
11/04/2019,24692169306100840148600,"IMPARK00250072U SEATTLE WA","SEATTLE       WA ",-14.70
11/02/2019,24269799305500756915892,"VINCES ITALIAN RESTAU FEDERAL WAY WA","FEDERAL WAY   WA ",-31.39
11/01/2019,24638189304017033513225,"GRAB A GUN 972-552-7246 TX","972-552-7246  TX ",-27.29
11/01/2019,24009599304500710909015,"FEDERAL WAY INDOOR RANGE FEDERAL WAY WA","FEDERAL WAY   WA ",-27.50
10/31/2019,                       ,"ANNUAL FEE","",-75.00
10/31/2019,24251389303017047151635,"CAFE PRESSE SEATTLE WA","SEATTLE       WA ",-45.58
10/29/2019,24427339301710031988428,"MCDONALD'S F10651 BELLEVUE WA","BELLEVUE      WA ",-7.03
10/29/2019,24251389301018024395569,"DOOFERS BAR AND GRILL RENTON WA","RENTON        WA ",-26.21
10/26/2019,24426299298030035796061,"Cave Country Dive Shop HIGH SPRINGS FL","HIGH SPRINGS  FL ",-428.00
10/25/2019,24137469298001199157910,"TST* BENNETT S PURE FOOD MERCER ISLANDWA","MERCER ISLAND WA ",-44.40
10/25/2019,24269799298000941866083,"VINCES ITALIAN RESTAU FEDERAL WAY WA","FEDERAL WAY   WA ",-23.25
10/25/2019,24015179297003233856237,"76 - UNITED PACIFIC 5483 FEDERAL WAY WA","FEDERAL WAY   WA ",-19.38
10/24/2019,24269799297000915003631,"CUPCAKE ROYALE - MADRONA SEATTLE WA","SEATTLE       WA ",-11.12
10/24/2019,24269799297000915003714,"MADRONA FAMILY DENTAL SEATTLE WA","SEATTLE       WA ",-252.00
10/24/2019,24013399296003131577908,"LATONA PUB SEATTLE WA","SEATTLE       WA ",-25.75
